Place,X-coord,Y-coord,Rooms,CommonR,Sauna,m^2,Age,Price
Leikosaarentie 26,60.2040884,25.1462859,2H+KK,2,0,44 m²,2004,860 €/kk 
Topparikuja 9 B,60.20092529999999,24.9420044,3h+k,3,0,"70,5 m²",1975,1 259 €/kk 
Taidemaalarinkatu 10 A,60.2622694,24.8911463,2h+kk,2,0,46 m²,2019,799 €/kk 
Hietaniemenkatu 10,60.1698673,24.9238627,2h + avok + p,2,0,48 m²,1911,2 200 €/kk 
"Hiomotie 42, 44, 46 ja 48",60.21919320000001,24.8704318,2H+KK+S,2,1,"48,5 m²",1997,920 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"37,5 m²",2023,1 247 €/kk 
Lintulahdenaukio 6,60.18458109999999,24.962071,2H+KT+S,2,1,"40,5 m²",1999,1 117 €/kk 
Ristiretkeläistenkatu 19,60.2246513,24.9863141,2H+KT,2,0,47 m²,2018,1 068 €/kk 
Karibiankuja 4,60.15525469999999,24.9076532,1H+KT,1,0,32 m²,2020,949 €/kk 
Näyttelijäntie 24 G,60.23249769999999,24.8925323,2h+kt,2,0,"49,5 m²",1959,999 €/kk 
Kivipadontie 6h B,60.233337,24.948913,2h+kt,2,0,"39,5 m²",2023,995 €/kk 
Luistarinkuja 6 C,60.23797879999999,25.0952937,"2h+tupak,kph,las.parv",2,0,"44,5 m²",1991,850 €/kk 
Fredikanterassi3,60.16985569999999,24.938379,2h+k,2,0,45 m²,2019,1 690 €/kk 
Liisankatu 14 A 16,60.1739925,24.9549301,2 h + kk,2,0,38 m²,1929,1 100 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,3h+kt,3,0,54 m²,2023,2 030 €/kk 
Tanhuantie 1,60.23677379999999,25.0953764,3H+K,3,0,73 m²,1964,1 115 €/kk 
Kallvikintie 57 B,60.2075808,25.135871,2h+kk+s,2,1,"58,5 m²",2000,1 020 €/kk 
Uutiskatu 3 A 0,60.20371299999999,24.9201961,2h+kt,2,0,44 m²,2018,1 069 €/kk 
